ОГРН предприятия;Код ОКПД2 продукции, включенной в реестр по ПП 719
1027802714411;28.92.25
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1027802714411;28.92.25
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1030201526893;28.30.51
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1045206965055;29.10.30.110
1112651026652;14.12
1045206965055;29.10.30.110
1112651026652;14.12
1112651026652;14.12
1112651026652;14.12
1112651026652;14.12
1112651026652;14.12
1112651026652;14.12
1112651026652;14.12
1025902466501;32.99.11.160
1025902466501;32.99.11.160
1025902466501;32.99.11.160
